,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_AR_S01_W760x134,W760x134,264.0,749.0,15.5,11.9,16.5,17000.0,134.0,2.5,1500000000.0,47900000.0,4010000.0,362000.0,4640000.0,569000.0,1180000.0,6440000000000.0,0.0,W30x90
H_SC_AR_S01_W690x802,W690x802,389.0,826.0,89.9,50.0,20.1,103000.0,802.0,3.07,10700000000.0,878000000.0,25700000.0,4540000.0,31000000.0,7160000.0,206000000.0,119000000000000.0,0.0,W27x539
H_SC_AR_S01_W690x548,W690x548,373.0,772.0,63.0,35.1,20.1,70300.0,548.0,2.92,6740000000.0,545000000.0,17400000.0,2930000.0,20300000.0,4570000.0,70800000.0,68500000000000.0,0.0,W27x368
H_SC_AR_S01_W690x500,W690x500,371.0,762.0,57.9,32.0,20.1,64000.0,500.0,2.92,6080000000.0,491000000.0,15900000.0,2650000.0,18500000.0,4130000.0,54500000.0,60700000000000.0,0.0,W27x336
H_SC_AR_S01_W690x457,W690x457,366.0,752.0,53.1,29.5,20.1,58200.0,457.0,2.87,5450000000.0,437000000.0,14500000.0,2390000.0,16900000.0,3720000.0,42000000.0,53400000000000.0,0.0,W27x307
H_SC_AR_S01_W690x419,W690x419,366.0,744.0,49.0,26.9,20.1,53600.0,419.0,2.87,4950000000.0,397000000.0,13300000.0,2180000.0,15300000.0,3380000.0,33100000.0,47800000000000.0,0.0,W27x281
H_SC_AR_S01_W690x384,W690x384,363.0,737.0,45.0,24.9,20.0,49100.0,384.0,2.84,4500000000.0,358000000.0,12200000.0,1970000.0,14000000.0,3060000.0,25600000.0,42700000000000.0,0.0,W27x258
H_SC_AR_S01_W690x350,W690x350,361.0,729.0,40.9,23.1,20.1,44800.0,350.0,2.82,4040000000.0,320000000.0,11100000.0,1770000.0,12700000.0,2750000.0,19600000.0,37900000000000.0,0.0,W27x235
H_SC_AR_S01_W690x323,W690x323,358.0,721.0,38.1,21.1,20.1,41200.0,323.0,2.79,3710000000.0,293000000.0,10300000.0,1640000.0,11700000.0,2520000.0,15700000.0,34400000000000.0,0.0,W27x217
H_SC_AR_S01_W690x289,W690x289,356.0,714.0,34.0,19.1,20.1,36800.0,289.0,2.77,3270000000.0,258000000.0,9160000.0,1440000.0,10300000.0,2230000.0,11300000.0,29800000000000.0,0.0,W27x194
H_SC_AR_S01_W690x265,W690x265,358.0,706.0,30.2,18.4,20.1,33900.0,265.0,2.77,2920000000.0,231000000.0,8280000.0,1290000.0,9340000.0,2000000.0,8370000.0,26400000000000.0,0.0,W27x178
H_SC_AR_S01_W690x240,W690x240,356.0,701.0,27.4,16.8,20.1,30700.0,240.0,2.77,2630000000.0,207000000.0,7510000.0,1160000.0,8440000.0,1790000.0,6290000.0,23400000000000.0,0.0,W27x161
H_SC_AR_S01_W690x217,W690x217,356.0,696.0,24.8,15.4,19.9,27900.0,217.0,2.74,2360000000.0,184000000.0,6780000.0,1040000.0,7600000.0,1600000.0,4700000.0,20700000000000.0,0.0,W27x146
H_SC_AR_S01_W690x192,W690x192,254.0,701.0,27.9,15.5,15.3,24400.0,192.0,2.36,1980000000.0,76600000.0,5650000.0,603000.0,6470000.0,944000.0,4620000.0,8730000000000.0,0.0,W27x129
H_SC_AR_S01_W690x170,W690x170,257.0,693.0,23.6,14.5,15.3,21700.0,170.0,2.36,1700000000.0,66200000.0,4900000.0,516000.0,5620000.0,808000.0,3050000.0,7410000000000.0,0.0,W27x114
H_SC_AR_S01_W690x152,W690x152,254.0,688.0,21.1,13.1,15.2,19400.0,152.0,2.34,1510000000.0,57900000.0,4380000.0,456000.0,5000000.0,711000.0,2200000.0,6440000000000.0,0.0,W27x102
H_SC_AR_S01_W690x140,W690x140,254.0,683.0,18.9,12.4,15.1,17800.0,140.0,2.33,1360000000.0,51600000.0,3980000.0,406000.0,4560000.0,636000.0,1680000.0,5720000000000.0,0.0,W27x94
H_SC_AR_S01_W690x125,W690x125,254.0,678.0,16.3,11.7,15.2,15900.0,125.0,2.32,1190000000.0,44100000.0,3490000.0,347000.0,4000000.0,544000.0,1170000.0,4810000000000.0,0.0,W27x84
H_SC_AR_S01_W610x551,W610x551,348.0,711.0,69.1,38.6,12.7,70300.0,551.0,2.72,5580000000.0,483000000.0,15700000.0,2790000.0,18500000.0,4380000.0,83700000.0,49900000000000.0,0.0,W24x370
H_SC_AR_S01_W610x498,W610x498,343.0,699.0,63.0,35.1,12.7,63400.0,498.0,2.67,4950000000.0,429000000.0,14200000.0,2490000.0,16700000.0,3900000.0,63300000.0,43200000000000.0,0.0,W24x335
H_SC_AR_S01_W610x455,W610x455,340.0,688.0,57.9,32.0,12.7,57900.0,455.0,2.64,4450000000.0,383000000.0,12900000.0,2250000.0,15100000.0,3510000.0,48700000.0,38100000000000.0,0.0,W24x306
H_SC_AR_S01_W610x415,W610x415,338.0,678.0,53.1,29.5,12.7,52800.0,415.0,2.62,4000000000.0,343000000.0,11800000.0,2030000.0,13700000.0,3160000.0,37700000.0,33600000000000.0,0.0,W24x279
H_SC_AR_S01_W610x372,W610x372,335.0,668.0,48.0,26.4,12.7,47400.0,372.0,2.59,3530000000.0,301000000.0,10600000.0,1800000.0,12200000.0,2800000.0,27700000.0,29000000000000.0,0.0,W24x250
