,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Name Key##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##
H_SC_AR_S01_H-414x405x18x28,H-414x405x18x28,405.0,18.0,22.0,11547460055250.0,6677424.0,"Steel, 45-345",,29539.999999999996,2330000.0,5030000.0,2.374230076757951,232.0,310000000.0,928000000.0,414.0,28.0,1530000.0,4480000.0,207.0,202.5,
H_SC_AR_S01_H-428x407x20x35,H-428x407x20x35,407.0,20.0,22.0,15185361358426.875,12681416.666666666,"Steel, 45-345",,36070.0,2940000.0,6310000.0,2.406230076757951,283.0,394000000.0,1190000000.0,428.0,35.0,1930000.0,5570000.0,214.0,203.5,
H_SC_AR_S01_H-458x417x30x50,H-458x417x30x50,417.0,30.0,22.0,25147062068400.0,38422000.0,"Steel, 45-345",,52860.0,4440000.0,9540000.0,2.486230076757951,415.0,605000000.0,1870000000.0,458.0,50.0,2900000.0,8170000.0,229.0,208.5,
H_SC_AR_S01_H-498x432x45x70,H-498x432x45x70,432.0,45.0,22.0,43075028828160.0,111784500.0,"Steel, 45-345",,77010.0,6720000.0,14500000.0,2.596230076757951,605.0,940000000.0,2980000000.0,498.0,70.0,4370000.0,13000000.0,249.0,216.0,
H_SC_AR_S01_H-446x199x8x12,H-446x199x8x12,199.0,8.0,18.0,742179052622.0,303317.3333333333,"Steel, 45-345",,8430.0,247000.0,1450000.0,1.6410973355292326,66.2,15800000.0,287000000.0,446.0,12.0,159000.0,1290000.0,223.0,99.5,
H_SC_AR_S01_H-450x200x9x14,H-450x200x9x14,200.0,9.0,18.0,887114666666.6666,471814.6666666667,"Steel, 45-345",,9676.0,291000.0,1680000.0,1.6510973355292327,76.0,18700000.0,335000000.0,450.0,14.0,187000.0,1490000.0,225.0,100.0,
H_SC_AR_S01_H-434x299x10x15,H-434x299x10x15,299.0,10.0,24.0,2933064599586.875,812416.6666666666,"Steel, 45-345",,13500.0,686000.0,2384000.0,2.00279644737231,106.0,66900000.0,468000000.0,434.0,15.0,448000.0,2160000.0,217.0,149.5,
H_SC_AR_S01_H-440x300x11x18,H-440x300x11x18,300.0,11.0,24.0,3606201000000.0,1353627.3333333333,"Steel, 45-345",,15740.0,828000.0,2820000.0,2.01679644737231,124.0,81100000.0,561000000.0,440.0,18.0,541000.0,2550000.0,220.0,150.0,
H_SC_AR_S01_H-496x199x9x14,H-496x199x9x14,199.0,9.0,20.0,1067997164544.3334,481163.3333333333,"Steel, 45-345",,10130.0,290000.0,1910000.0,1.7356637061435918,79.5,18400000.0,419000000.0,496.0,14.0,185000.0,1690000.0,248.0,99.5,
H_SC_AR_S01_H-500x200x10x16,H-500x200x10x16,200.0,10.0,20.0,1249365333333.3333,707466.6666666666,"Steel, 45-345",,11420.0,335000.0,2180000.0,1.7456637061435918,89.6,21400000.0,478000000.0,500.0,16.0,214000.0,1910000.0,250.0,100.0,
