"Work Master
Code",Discipline,Code,Description,Code,Description,Code,Description,Code,L04,Code,L05,Code,L06,Code,L07,Code,L08,Code,L09,Code,L10,Code,L11,B01,B02,B03,B04,B05,B06,B07,B08,B09,UoM1,UoM2,"Work Group
Code","Work Master
Code"
A02AC028-00001,AR,A02,Pile Work,AC,Pile Test,028,Integrity Test,,,,,,,,,,,,,,,,,,,,,,,,,,EA,EA,A02AC028,A02AC028-00001
A03AD029-00001,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,37,M12,,,,,,,,,,EA,EA,A03AD029,A03AD029-00001
A03AD029-00002,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,38,M16,,,,,,,,,,EA,EA,A03AD029,A03AD029-00002
A03AD029-00003,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,39,M20,,,,,,,,,,EA,EA,A03AD029,A03AD029-00003
A03AD029-00004,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,40,M22,,,,,,,,,,EA,EA,A03AD029,A03AD029-00004
A03AD029-00005,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,41,M24,,,,,,,,,,EA,EA,A03AD029,A03AD029-00005
A03AD029-00006,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,42,M30,,,,,,,,,,EA,EA,A03AD029,A03AD029-00006
A03AD029-00007,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,43,M33,,,,,,,,,,EA,EA,A03AD029,A03AD029-00007
A03AD029-00008,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,44,M36,,,,,,,,,,EA,EA,A03AD029,A03AD029-00008
A03AD029-00009,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,45,M42,,,,,,,,,,EA,EA,A03AD029,A03AD029-00009
A03AD029-00010,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,46,M48,,,,,,,,,,EA,EA,A03AD029,A03AD029-00010
A03AD029-00011,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,47,M52,,,,,,,,,,EA,EA,A03AD029,A03AD029-00011
A03AD029-00012,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,48,M56,,,,,,,,,,EA,EA,A03AD029,A03AD029-00012
A03AD029-00013,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,49,M64,,,,,,,,,,EA,EA,A03AD029,A03AD029-00013
A03AD029-00014,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,50,M72,,,,,,,,,,EA,EA,A03AD029,A03AD029-00014
A03AD029-00015,AR,A03,Concrete Work,AD,Substructure Work,029,Anchor Bolt (Installation only),,,,,,,,,,,,,,,51,M76,,,,,,,,,,EA,EA,A03AD029,A03AD029-00015
