,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_CT-250x200x10x16,200.0,250.0,16.0,10.0,20.0,125.0,5712.0,44.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-253x201x11x19,201.0,253.0,19.0,11.0,20.0,126.5,6565.0,51.5,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-241x300x11x15,300.0,241.0,15.0,11.0,26.0,120.5,7276.0,57.1,1.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-244x300x11x18,300.0,244.0,18.0,11.0,26.0,122.0,8176.0,64.2,1.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-298x199x10x15,199.0,298.0,15.0,10.0,22.0,149.0,6023.0,47.3,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-300x200x11x17,200.0,300.0,17.0,11.0,22.0,150.0,6721.0,52.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-303x201x12x20,201.0,303.0,20.0,12.0,22.0,151.5,7624.0,59.8,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-306x202x13x23,202.0,306.0,23.0,13.0,22.0,153.0,8533.0,67.0,1.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-291x300x12x17,300.0,291.0,17.0,12.0,28.0,145.5,8724.0,68.0,1.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-294x300x12x20,300.0,294.0,20.0,12.0,28.0,147.0,9624.0,75.6,1.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-297x302x14x23,302.0,297.0,23.0,14.0,28.0,148.5,11120.0,87.3,1.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-346x300x13x20,300.0,346.0,20.0,13.0,28.0,173.0,10570.0,83.0,1.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-350x300x13x24,300.0,350.0,24.0,13.0,28.0,175.0,11770.0,92.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-354x302x15x28,302.0,354.0,28.0,15.0,28.0,177.0,13680.0,107.0,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-396x300x14x22,300.0,396.0,22.0,14.0,28.0,198.0,12170.0,95.6,1.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-400x300x14x26,300.0,400.0,26.0,14.0,28.0,200.0,13370.0,105.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
H_SB_CT-404x302x16x30,302.0,404.0,30.0,16.0,28.0,202.0,15380.0,121.0,1.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
