,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT345x274,373.0,386.0,63.0,35.1,20.1,291.8,35000.0,274.0,391000000.0,273000000.0,1340000.0,1460000.0,2470000.0,2290000.0,35200000.0,143000000000.0,139.7,WT13.5X184
H_SB_WT345x250,371.0,381.0,57.9,32.0,20.1,290.1,31900.0,250.0,349000000.0,244000000.0,1200000.0,1320000.0,2210000.0,2060000.0,27200000.0,108000000000.0,139.7,WT13.5X168
H_SB_WT345x228.5,366.0,376.0,53.1,29.5,20.1,287.9,29200.0,228.0,313000000.0,219000000.0,1090000.0,1190000.0,1980000.0,1850000.0,21000000.0,81600000000.0,139.7,WT13.5X153.5
H_SB_WT345x209.5,366.0,371.0,49.0,26.9,20.1,285.9,26800.0,210.0,282000000.0,199000000.0,982000.0,1090000.0,1790000.0,1690000.0,16500000.0,62300000000.0,139.7,WT13.5X140.5
H_SB_WT345x192,363.0,368.0,45.0,24.9,20.0,284.9,24600.0,192.0,255000000.0,179000000.0,896000.0,987000.0,1620000.0,1530000.0,12800000.0,47800000000.0,139.7,WT13.5X129
H_SB_WT345x175,361.0,363.0,40.9,23.1,20.1,281.7,22400.0,175.0,231000000.0,160000000.0,819000.0,888000.0,1470000.0,1370000.0,9740000.0,36300000000.0,139.7,WT13.5X117.5
H_SB_WT345x161.5,358.0,361.0,38.1,21.1,20.1,282.3,20600.0,162.0,209000000.0,147000000.0,741000.0,818000.0,1330000.0,1260000.0,7830000.0,28200000000.0,139.7,WT13.5X108.5
H_SB_WT345x144.5,356.0,358.0,34.0,19.1,20.1,281.3,18500.0,145.0,185000000.0,129000000.0,660000.0,723000.0,1180000.0,1110000.0,5620000.0,20000000000.0,139.7,WT13.5X97
H_SB_WT345x132.5,358.0,353.0,30.2,18.4,20.1,275.8,17000.0,132.0,172000000.0,116000000.0,626000.0,646000.0,1110000.0,996000.0,4160000.0,15500000000.0,139.7,WT13.5X89
H_SB_WT345x120,356.0,351.0,27.4,16.8,20.1,275.3,15400.0,120.0,155000000.0,103000000.0,564000.0,580000.0,996000.0,893000.0,3130000.0,11500000000.0,139.7,WT13.5X80.5
H_SB_WT345x108.5,356.0,348.0,24.8,15.4,19.9,273.3,13900.0,108.0,140000000.0,92400000.0,511000.0,519000.0,901000.0,800000.0,2340000.0,8510000000.0,139.7,WT13.5X73
H_SB_WT345x96,254.0,351.0,27.9,15.5,15.3,264.9,12200.0,96.0,134000000.0,38400000.0,508000.0,302000.0,903000.0,472000.0,2310000.0,6440000000.0,139.7,WT13.5X64.5
H_SB_WT345x85,257.0,345.0,23.6,14.5,15.3,258.1,10800.0,85.0,120000000.0,33000000.0,464000.0,259000.0,826000.0,403000.0,1520000.0,4700000000.0,139.7,WT13.5X57
H_SB_WT345x76,254.0,343.0,21.1,13.1,15.2,257.4,9680.0,76.0,107000000.0,29000000.0,415000.0,228000.0,737000.0,356000.0,1090000.0,3380000000.0,139.7,WT13.5X51
H_SB_WT345x70,254.0,343.0,18.9,12.4,15.1,256.4,8900.0,70.0,99500000.0,25800000.0,390000.0,203000.0,695000.0,318000.0,837000.0,2740000000.0,139.7,WT13.5X47
H_SB_WT345x62.5,254.0,340.0,16.3,11.7,15.2,251.6,8000.0,62.5,89900000.0,22000000.0,359000.0,174000.0,642000.0,272000.0,583000.0,2090000000.0,139.7,WT13.5X42
H_SB_WT305x275.5,348.0,356.0,69.1,38.6,12.7,265.3,35200.0,276.0,324000000.0,242000000.0,1220000.0,1390000.0,2290000.0,2180000.0,41600000.0,149000000000.0,139.7,WT12X185
H_SB_WT305x249,343.0,351.0,63.0,35.1,12.7,264.1,31700.0,249.0,286000000.0,214000000.0,1090000.0,1240000.0,2020000.0,1950000.0,31500000.0,109000000000.0,139.7,WT12X167.5
H_SB_WT305x227.5,340.0,345.0,57.9,32.0,12.7,261.4,29000.0,228.0,254000000.0,191000000.0,973000.0,1120000.0,1800000.0,1750000.0,24300000.0,81900000000.0,139.7,WT12X153
H_SB_WT305x207.5,338.0,340.0,53.1,29.5,12.7,259.2,26500.0,208.0,227000000.0,171000000.0,878000.0,1010000.0,1620000.0,1580000.0,18800000.0,61800000000.0,139.7,WT12X139.5
