,H_SectionID##SECTION_PROPERTY##TEXT,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_L203x203x14.3,L203x203x14.3,203.0,203.0,14.3,14.3,7.15,7.15,14.3,55.6,55.6,5660.0,0.809,44.0,22600000.0,22600000.0,153000.0,153000.0,275000.0,275000.0,400000.0,1220000000.0,114.3,114.3,0.0,L8X8X9/16
H_SB_L203x203x15.9,L203x203x15.9,203.0,203.0,15.9,15.9,7.95,7.95,15.9,56.1,56.1,6250.0,0.809,48.7,24800000.0,24800000.0,169000.0,169000.0,305000.0,305000.0,541000.0,1650000000.0,114.3,114.3,0.0,L8X8X5/8
H_SB_L203x203x19,L203x203x19,203.0,203.0,19.1,19.1,9.55,9.55,19.1,57.4,57.4,7420.0,0.809,57.9,29100000.0,29100000.0,200000.0,200000.0,361000.0,361000.0,920000.0,2790000000.0,114.3,114.3,0.0,L8X8X3/4
H_SB_L203x203x22.2,L203x203x22.2,203.0,203.0,22.2,22.2,11.1,11.1,22.2,58.7,58.7,8580.0,0.809,67.0,33200000.0,33200000.0,229000.0,229000.0,415000.0,415000.0,1440000.0,4320000000.0,114.3,114.3,0.0,L8X8X7/8
H_SB_L203x203x25.4,L203x203x25.4,203.0,203.0,25.4,25.4,12.7,12.7,25.4,59.9,59.9,9740.0,0.807,75.9,37100000.0,37100000.0,259000.0,259000.0,467000.0,467000.0,2110000.0,6280000000.0,114.3,114.3,0.0,L8X8X1
H_SB_L203x203x28.6,L203x203x28.6,203.0,203.0,28.6,28.6,14.3,14.3,28.6,61.0,61.0,10800.0,0.808,84.7,40800000.0,40800000.0,287000.0,287000.0,518000.0,518000.0,2970000.0,8730000000.0,114.3,114.3,0.0,L8X8X1 1/8
H_SB_L254x254x19.1,L254x254x19.1,254.0,254.0,19.1,19.1,9.0,9.0,18.0,69.8,69.8,9310.0,0.992,73.1,57070000.0,57070000.0,309800.0,309800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L10X10X3/4
H_SB_L254x254x22.2,L254x254x22.2,254.0,254.0,22.2,22.2,9.0,9.0,18.0,71.0,71.0,10800.0,0.992,84.6,65490000.0,65490000.0,357900.0,357900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L10X10X7/8
H_SB_L254x254x25.4,L254x254x25.4,254.0,254.0,25.4,25.4,9.0,9.0,18.0,72.3,72.3,12300.0,0.992,96.2,73740000.0,73740000.0,405800.0,405800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L10X10X1
H_SB_L254x254x28.6,L254x254x28.6,254.0,254.0,28.6,28.6,9.0,9.0,18.0,73.5,73.5,13700.0,0.992,108.0,81680000.0,81680000.0,452600.0,452600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L10X10X1 1/8
H_SB_L254x254x31.8,L254x254x31.8,254.0,254.0,31.8,31.8,9.0,9.0,18.0,74.7,74.7,15100.0,0.992,119.0,89330000.0,89330000.0,498300.0,498300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L10X10X1 1/4
H_SB_L254x254x34.9,L254x254x34.9,254.0,254.0,34.9,34.9,9.0,9.0,18.0,75.9,75.9,16500.0,0.992,130.0,96480000.0,96480000.0,541700.0,541700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L10X10X1 3/8
H_SB_L305x305x25.4,L305x305x25.4,305.0,305.0,25.4,25.4,12.7,12.7,18.0,84.8,84.8,14700.0,1.183,116.0,129200000.0,129200000.0,587100.0,587100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L12X12X1
H_SB_L305x305x28.6,L305x305x28.6,305.0,305.0,28.6,28.6,12.7,12.7,18.0,86.0,86.0,16500.0,1.183,130.0,143700000.0,143700000.0,656700.0,656700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L12X12X1 1/8
H_SB_L305x305x31.8,L305x305x31.8,305.0,305.0,31.8,31.8,12.7,12.7,18.0,87.3,87.3,18300.0,1.183,143.0,157700000.0,157700000.0,725000.0,725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L12X12X1 1/4
H_SB_L305x305x34.9,L305x305x34.9,305.0,305.0,34.9,34.9,12.7,12.7,18.0,88.5,88.5,19900.0,1.183,157.0,170900000.0,170900000.0,789900.0,789900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L12X12X1 3/8
