,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS
H_SB_HL 920 x 784,437,996,73.9,73.9,24,997.7,784,3.62,0,0,0,0,0,0,0,0,0
H_SB_HL 920 x 967,446,1028,89.9,89.9,24,1231,967,3.7,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 x 296,400,982,27,27,30,376.8,296,3.479,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 A,400,990,31,31,30,408.8,321,3.495,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 B,400,1000,36,36,30,472,371,3.51,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 M,402,1008,40,40,30,524.2,412,3.53,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 x 477,404,1018,45,45,30,608,477,3.549,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 x 554,408,1032,52,52,30,705.8,554,3.585,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 x 642,412,1048,60,60,30,817.6,642,3.624,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 x 748,417,1068,70,70,30,953.4,748,3.674,0,0,0,0,0,0,0,0,0
H_SB_HL 1000 x 883,424,1092,82,82,30,1125.3,883,3.737,0,0,0,0,0,0,0,0,0
H_SB_HL 1100 A,400,1090,31,31,20,436.5,343,3.71,0,0,0,0,0,0,0,0,0
H_SB_HL 1100 B,400,1100,36,36,20,497,390,3.726,0,0,0,0,0,0,0,0,0
H_SB_HL 1100 M,402,1108,40,40,20,551.2,433,3.746,0,0,0,0,0,0,0,0,0
H_SB_HL 1100 R,405,1118,45,45,20,635.2,499,3.77,0,0,0,0,0,0,0,0,0
