,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SB_WT265x75,312,272,20.3,12.7,12.7,216.6,9610,75,56200000,51600000,259000,331000,457000,505000,1080000,2790000000,139.7,WT10.5X50.5
H_SB_WT265x69,214,274,23.6,14.7,12.7,204.4,8840,69,59900000,19300000,293000,180000,521000,283000,1250000,2510000000,139.7,WT10.5X46.5
H_SB_WT265x61.5,212,272,21.2,13.1,12.8,204.4,7870,61.5,52900000,16900000,257000,160000,459000,249000,899000,1750000000,139.7,WT10.5X41.5
H_SB_WT265x54.5,211,269,18.8,11.6,12.7,203,6900,54.5,45800000,14700000,226000,139000,400000,218000,629000,1190000000,139.7,WT10.5X36.5
H_SB_WT265x50.5,210,269,17.4,10.9,12.8,203.2,6450,50.5,42900000,13500000,211000,128000,375000,200000,508000,972000000,139.7,WT10.5X34
H_SB_WT265x46,209,267,15.6,10.2,12.8,201.5,5890,46,39000000,11900000,195000,114000,346000,179000,380000,747000000,139.7,WT10.5X31
H_SB_WT265x41,209,264,13.3,9.53,12.6,196.9,5230,41,35100000,10100000,179000,96500,318000,150000,257000,559000000,139.7,WT10.5X27.5
H_SB_WT265x36,207,262,10.9,8.89,12.7,192.4,4560,36,31200000,8070000,162000,78000,292000,122000,166000,408000000,139.7,WT10.5X24
H_SB_WT265x42.5,167,267,16.5,10.3,12.7,194.6,5400,42.5,37600000,6370000,193000,76500,347000,121000,368000,671000000,88.9,WT10.5X28.5
H_SB_WT265x37,166,264,13.6,9.65,12.8,189.6,4750,37,33400000,5200000,175000,62600,318000,99600,237000,508000000,88.9,WT10.5X25
H_SB_WT265x33,165,262,11.4,8.89,12.7,186.3,4190,33,29600000,4290000,159000,52100,288000,83100,159000,376000000,88.9,WT10.5X22
H_SB_WT230x232,305,284,69.6,38.6,12.7,209.6,29500,232,159000000,166000000,764000,1080000,1480000,1700000,36300000,91000000000,139.7,WT9X155.5
H_SB_WT230x210.5,302,277,63.5,35.6,12.7,205.9,26900,210,140000000,147000000,680000,970000,1310000,1520000,27700000,67400000000,139.7,WT9X141.5
H_SB_WT230x192,300,272,58.4,32.5,10.2,203.9,24500,192,124000000,131000000,606000,875000,1160000,1360000,21300000,50800000000,139.7,WT9X129
H_SB_WT230x174.5,297,267,53.6,29.5,10.2,202.2,22100,174,109000000,116000000,536000,785000,1020000,1220000,16300000,37600000000,139.7,WT9X117
H_SB_WT230x157.5,295,262,48.5,26.9,10.2,200,20100,158,95300000,102000000,477000,700000,901000,1080000,12100000,27400000000,139.7,WT9X105.5
H_SB_WT230x143,292,259,44.5,24.4,10.1,199.6,18100,143,84100000,91600000,423000,629000,795000,973000,9280000,20300000000,139.7,WT9X96
H_SB_WT230x130,290,254,40.4,22.6,10.1,196.6,16600,130,75300000,81600000,383000,564000,714000,870000,6990000,15200000000,139.7,WT9X87.5
H_SB_WT230x117.5,287,250,36.6,20.6,10.1,194.9,15000,118,66600000,72400000,341000,503000,631000,777000,5200000,11100000000,139.7,WT9X79
H_SB_WT230x106.5,284,248,33.5,18.5,10.2,194.9,13500,106,59100000,64900000,303000,454000,557000,700000,3990000,8240000000,139.7,WT9X71.5
H_SB_WT230x96.5,284,245,30.5,17,10.1,193.7,12400,96.5,52900000,57900000,274000,408000,500000,628000,3010000,6120000000,139.7,WT9X65
H_SB_WT230x88.5,287,241,26.9,16.6,10.2,189.4,11400,88.5,49500000,52400000,261000,369000,470000,565000,2210000,4670000000,139.7,WT9X59.5
H_SB_WT230x79,284,238,23.9,15,10.1,188,10100,79,43300000,45800000,231000,323000,413000,495000,1550000,3250000000,139.7,WT9X53
H_SB_WT230x72,282,236,22.1,13.6,10.2,187.5,9160,72,39000000,41600000,208000,295000,370000,452000,1220000,2490000000,139.7,WT9X48.5
H_SB_WT230x64,282,234,19.6,12.2,10.1,186.8,8190,64,34300000,36500000,184000,259000,326000,397000,849000,1720000000,139.7,WT9X43
H_SB_WT230x56.5,279,231,17.3,10.8,10.1,185.3,7160,56.5,29900000,31700000,161000,226000,283000,346000,587000,1170000000,139.7,WT9X38
H_SB_WT230x53,194,235,20.6,12.6,10.1,177.6,6710,53,32500000,12500000,184000,129000,328000,202000,724000,1060000000,88.9,WT9X35.5
H_SB_WT230x48.5,193,233,19.1,11.4,10.1,177.1,6160,48.5,29400000,11400000,166000,118000,295000,184000,566000,808000000,88.9,WT9X32.5
H_SB_WT230x44.5,192,232,17.7,10.5,10.2,177.1,5690,44.5,26900000,10400000,152000,109000,270000,169000,450000,631000000,88.9,WT9X30
H_SB_WT230x41,191,230,16,9.91,10.2,175.1,5230,41,24800000,9370000,141000,97800,251000,152000,345000,494000000,88.9,WT9X27.5
H_SB_WT230x37,191,229,14.5,9.02,10.2,175.2,4740,37,22300000,8320000,128000,87700,226000,136000,258000,365000000,88.9,WT9X25
H_SB_WT230x34,154,229,15.4,9.14,10.3,169.8,4370,34,21700000,4700000,127000,60800,228000,95700,253000,322000000,88.9,WT9X23
H_SB_WT230x30,153,227,13.3,8,10.2,168.8,3790,30,18600000,3980000,110000,51900,197000,81400,168000,212000000,88.9,WT9X20
H_SB_WT230x26,152,225,10.8,7.62,10.2,164.3,3320,26,16700000,3190000,102000,42000,184000,65900,105000,161000000,88.9,WT9X17.5
H_SB_WT205x74.5,264,216,25,14.9,10.3,171.3,9480,74.5,32000000,38800000,187000,293000,339000,449000,1600000,2790000000,139.7,WT8X50
H_SB_WT205x66,264,213,22.2,13.3,10.3,169.8,8450,66,28000000,33800000,166000,257000,297000,393000,1130000,1930000000,139.7,WT8X44.5
H_SB_WT205x57,262,210,19.3,11.6,10.2,168.6,7290,57,23700000,28800000,141000,220000,251000,336000,741000,1240000000,139.7,WT8X38.5
H_SB_WT205x50,259,208,16.9,10,10.3,168.4,6330,50,20200000,24800000,121000,190000,213000,290000,495000,808000000,139.7,WT8X33.5
H_SB_WT205x42.5,181,209,18.2,10.9,10.2,159.7,5410,42.5,20300000,8990000,127000,99300,226000,154000,458000,534000000,88.9,WT8X28.5
H_SB_WT205x37.5,180,207,16,9.65,10.2,159,4750,37.5,17600000,7740000,111000,86200,197000,134000,316000,360000000,88.9,WT8X25
H_SB_WT205x33.5,179,205,14.4,8.76,10.2,157.8,4280,33.5,15700000,6830000,100000,76500,177000,118000,231000,262000000,88.9,WT8X22.5
H_SB_WT205x30,178,203,12.8,7.75,10.2,157,3800,30,13800000,5990000,87700,67500,155000,104000,165000,181000000,88.9,WT8X20
H_SB_WT205x26.5,178,201,10.9,7.49,10.2,153.2,3410,26.5,12700000,5080000,82800,57400,146000,88800,113000,139000000,88.9,WT8X18
H_SB_WT205x23.05,140,202,11.2,6.99,10.2,150.7,2940,23.1,11400000,2580000,76000,36700,136000,57500,95700,98300000,88.9,WT8X15.5
H_SB_WT205x19.4,140,199,8.76,6.35,10.24,145.9,2480,19.4,9780000,1990000,67000,28500,121000,44700,54100,65300000,88.9,WT8X13
H_SB_WT180x543,455,284,125,78,15,195.9,69000,543,308000000,982000000,1560000,4330000,3460000,6690000,297000000,1.41E+12,190.5,WT7X365
H_SB_WT180x495,450,274,115,71.9,15,191.4,63100,495,259000000,866000000,1350000,3870000,2980000,5980000,231000000,1.05E+12,190.5,WT7X332.5
H_SB_WT180x450,442,267,106,66,15,189.5,57400,450,218000000,766000000,1160000,3460000,2570000,5340000,179000000,7.87E+11,190.5,WT7X302.5
H_SB_WT180x409,437,257,97,60.5,15,184.6,52200,409,184000000,678000000,998000,3100000,2230000,4790000,138000000,5.85E+11,190.5,WT7X275
H_SB_WT180x372,432,249,88.9,55.6,15.1,181.2,47400,372,156000000,599000000,864000,2770000,1920000,4280000,106000000,4.35E+11,190.5,WT7X250
H_SB_WT180x338.5,427,242,81.5,51.3,15.3,178.2,43200,338,134000000,533000000,752000,2490000,1670000,3830000,81600000,3.25E+11,190.5,WT7X227.5
H_SB_WT180x317,424,237,77.2,47.8,15,176,40500,317,119000000,491000000,678000,2310000,1500000,3560000,68300000,2.66E+11,190.5,WT7X213
H_SB_WT180x296,422,232,72.4,45,15,173.6,37700,296,107000000,454000000,616000,2150000,1360000,3290000,56200000,2.15E+11,190.5,WT7X199
H_SB_WT180x275.5,419,228,67.6,42.2,15.2,172.4,35100,276,95300000,414000000,556000,1980000,1220000,3030000,45800000,1.72E+11,190.5,WT7X185
H_SB_WT180x254.5,417,223,62.7,39.1,15.3,169.9,32500,546,84500000,376000000,498000,1800000,1080000,2770000,36800000,1.35E+11,190.5,WT7X171
H_SB_WT180x231.5,411,217,57.4,35.8,15.2,167,29500,232,73300000,336000000,438000,1630000,946000,2490000,28100000,1.01E+11,190.5,WT7X155.5
H_SB_WT180x210.5,409,213,52.6,32.8,15.2,165.8,26800,210,63700000,301000000,385000,1470000,826000,2250000,21600000,75500000000,190.5,WT7X141.5
H_SB_WT180x191,406,208,48,30,15.2,163.5,24400,191,55400000,268000000,339000,1320000,719000,2020000,16400000,56100000000,190.5,WT7X128.5
H_SB_WT180x173.5,404,204,43.7,27.2,15.2,162.1,22100,174,48300000,240000000,298000,1190000,626000,1800000,12300000,41400000000,190.5,WT7X116.5
H_SB_WT180x157,401,200,39.6,24.9,15.3,160.1,20000,157,42500000,214000000,265000,1070000,547000,1620000,9240000,30300000000,190.5,WT7X105.5
H_SB_WT180x143.5,399,197,36.6,22.6,15.2,159.2,18300,144,37400000,194000000,236000,972000,482000,1480000,7200000,23400000000,190.5,WT7X96.5
H_SB_WT180x131,399,193,33.3,21.1,15.2,156.7,16700,131,33500000,174000000,213000,877000,431000,1330000,5490000,17500000000,190.5,WT7X88
H_SB_WT180x118.5,396,190,30.2,18.9,15.3,155.7,15100,118,29200000,156000000,187000,788000,374000,1200000,4100000,12900000000,190.5,WT7X79.5
H_SB_WT180x108,394,188,27.7,17.3,15.2,155.2,13700,108,26000000,141000000,167000,716000,331000,1080000,3150000,9750000000,190.5,WT7X72.5
H_SB_WT180x98,373,186,26.2,16.4,15.2,153.2,12500,98,24100000,114000000,157000,610000,305000,926000,2550000,7140000000,139.7,WT7X66
H_SB_WT180x89.5,373,184,23.9,15,15.2,152.5,11400,89.5,21500000,103000000,141000,552000,270000,839000,1940000,5370000000,139.7,WT7X60
H_SB_WT180x81,371,182,21.8,13.3,15.3,152.3,10300,81,18900000,92800000,124000,501000,236000,759000,1480000,4030000000,139.7,WT7X54.5
H_SB_WT180x73.5,371,180,19.8,12.3,15.3,151,9420,73.5,17000000,83700000,113000,452000,211000,685000,1120000,2980000000,139.7,WT7X49.5
