,Width##SECTION_PROPERTY##MILLIMETERS,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Flange Fillet##SECTION_PROPERTY##MILLIMETERS,Top Web Fillet##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Bolt Spacing Shorter Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 1 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Bolt Spacing 2 Longer Flange##SECTION_DIMENSION##MILLIMETERS,Section Name Key##other##
H_SC_L152x152x19,152,152,19.1,19.1,9.55,9.55,19.1,45,45,5460,0.606,42.7,11700000,11700000,109000,109000,195000,195000,670000,1120000000,88.9,88.9,0,L6X6X3/4
H_SC_L152x152x22.2,152,152,22.2,22.2,11.1,11.1,22.2,46,46,6290,0.605,49.3,13300000,13300000,125000,125000,225000,225000,1040000,1720000000,88.9,88.9,0,L6X6X7/8
H_SC_L152x152x25.4,152,152,25.4,25.4,12.7,12.7,25.4,47.2,47.2,7100,0.605,55.7,14700000,14700000,140000,140000,252000,252000,1530000,2480000000,88.9,88.9,0,L6X6X1
H_SC_L203x203x12.7,203,203,12.7,12.7,6.35,6.35,12.7,55.1,55.1,5060,0.808,39.3,20300000,20300000,137000,137000,247000,247000,284000,867000000,114.3,114.3,0,L8X8X1/2
H_SC_L203x203x14.3,203,203,14.3,14.3,7.15,7.15,14.3,55.6,55.6,5660,0.809,44,22600000,22600000,153000,153000,275000,275000,400000,1220000000,114.3,114.3,0,L8X8X9/16
H_SC_L203x203x15.9,203,203,15.9,15.9,7.95,7.95,15.9,56.1,56.1,6250,0.809,48.7,24800000,24800000,169000,169000,305000,305000,541000,1650000000,114.3,114.3,0,L8X8X5/8
H_SC_L203x203x19,203,203,19.1,19.1,9.55,9.55,19.1,57.4,57.4,7420,0.809,57.9,29100000,29100000,200000,200000,361000,361000,920000,2790000000,114.3,114.3,0,L8X8X3/4
H_SC_L203x203x22.2,203,203,22.2,22.2,11.1,11.1,22.2,58.7,58.7,8580,0.809,67,33200000,33200000,229000,229000,415000,415000,1440000,4320000000,114.3,114.3,0,L8X8X7/8
H_SC_L203x203x25.4,203,203,25.4,25.4,12.7,12.7,25.4,59.9,59.9,9740,0.807,75.9,37100000,37100000,259000,259000,467000,467000,2110000,6280000000,114.3,114.3,0,L8X8X1
H_SC_L203x203x28.6,203,203,28.6,28.6,14.3,14.3,28.6,61,61,10800,0.808,84.7,40800000,40800000,287000,287000,518000,518000,2970000,8730000000,114.3,114.3,0,L8X8X1 1/8
H_SC_L254x254x19.1,254,254,19.1,19.1,9,9,18,69.8,69.8,9310,0.992,73.1,57070000,57070000,309800,309800,0,0,0,0,0,0,0,L10X10X3/4
H_SC_L254x254x22.2,254,254,22.2,22.2,9,9,18,71,71,10800,0.992,84.6,65490000,65490000,357900,357900,0,0,0,0,0,0,0,L10X10X7/8
H_SC_L254x254x25.4,254,254,25.4,25.4,9,9,18,72.3,72.3,12300,0.992,96.2,73740000,73740000,405800,405800,0,0,0,0,0,0,0,L10X10X1
H_SC_L254x254x28.6,254,254,28.6,28.6,9,9,18,73.5,73.5,13700,0.992,108,81680000,81680000,452600,452600,0,0,0,0,0,0,0,L10X10X1 1/8
H_SC_L254x254x31.8,254,254,31.8,31.8,9,9,18,74.7,74.7,15100,0.992,119,89330000,89330000,498300,498300,0,0,0,0,0,0,0,L10X10X1 1/4
H_SC_L254x254x34.9,254,254,34.9,34.9,9,9,18,75.9,75.9,16500,0.992,130,96480000,96480000,541700,541700,0,0,0,0,0,0,0,L10X10X1 3/8
H_SC_L305x305x25.4,305,305,25.4,25.4,12.7,12.7,18,84.8,84.8,14700,1.183,116,129200000,129200000,587100,587100,0,0,0,0,0,0,0,L12X12X1
H_SC_L305x305x28.6,305,305,28.6,28.6,12.7,12.7,18,86,86,16500,1.183,130,143700000,143700000,656700,656700,0,0,0,0,0,0,0,L12X12X1 1/8
H_SC_L305x305x31.8,305,305,31.8,31.8,12.7,12.7,18,87.3,87.3,18300,1.183,143,157700000,157700000,725000,725000,0,0,0,0,0,0,0,L12X12X1 1/4
H_SC_L305x305x34.9,305,305,34.9,34.9,12.7,12.7,18,88.5,88.5,19900,1.183,157,170900000,170900000,789900,789900,0,0,0,0,0,0,0,L12X12X1 3/8
