,Width##SECTION_PROPERTY##MILLIMETERS,Web Thickness##SECTION_PROPERTY##MILLIMETERS,Web Fillet##SECTION_PROPERTY##MILLIMETERS,Warping Constant##WARPING_CONSTANT##MILLIMETERS_TO_THE_SIXTH_POWER,Torsional Moment of Inertia##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Structural Material##OTHER##,Section Area##SECTION_AREA##SQUARE_MILLIMETERS,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Perimeter##SURFACE_AREA##SQUARE_METERS_PER_METER,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##KILOGRAMS_FORCE_PER_METER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Moment of Inertia strong axis##MOMENT_OF_INERTIA##MILLIMETERS_TO_THE_FOURTH_POWER,Height##SECTION_PROPERTY##MILLIMETERS,Flange Thickness##SECTION_PROPERTY##MILLIMETERS,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_MILLIMETERS,Centroid Vertical##SECTION_PROPERTY##MILLIMETERS,Centroid Horizontal##SECTION_PROPERTY##MILLIMETERS,Assembly Code##OTHER##,Ix##OTHER##,Length##LENGTH##MILLIMETERS,Zx##OTHER##,b##LENGTH##MILLIMETERS,h##LENGTH##MILLIMETERS,r##LENGTH##MILLIMETERS,s##LENGTH##MILLIMETERS,t##LENGTH##MILLIMETERS,A##AREA##SQUARE_MILLIMETERS
H_SB_H-594x302x14x23,302,14,28,8.61E+12,2971897,"Steel, 45-345",22240,1080000,5200000,2.32,175,1.06E+08,1.37E+09,594,23,701000,4620000,297,151,,1.37E+09,1524,5200000,302,594,28,14,23,22240
H_SB_H-692x300x13x20,300,13,28,1.02E+13,2092128,"Steel, 45-345",21150,936000,5630000,2.51,166,9.02E+07,1.72E+09,692,20,602000,4980000,346,150,,1.72E+09,1524,5630000,300,692,28,13,20,21150
H_SB_H-700x300x13x24,300,13,28,1.23E+13,3259857,"Steel, 45-345",23550,1120000,6460000,2.53,185,1.08E+08,2.01E+09,700,24,722000,5760000,350,150,,2.01E+09,1524,6460000,300,700,28,13,24,23550
H_SB_H-708x302x15x28,302,15,28,1.49E+13,5184669,"Steel, 45-345",27360,1323000,7559000,2.55,215,1.29E+08,2.37E+09,708,28,853000,6700000,354,151,,2.37E+09,1524,7559000,302,708,28,15,28,27360
H_SB_H-792x300x14x22,300,14,28,1.47E+13,2833893,"Steel, 45-345",24340,1040000,7290000,2.71,191,9.93E+07,2.54E+09,792,22,662000,6410000,396,150,,2.54E+09,1524,7290000,300,792,28,14,22,24340
H_SB_H-800x300x14x26,300,14,28,1.75E+13,4223152,"Steel, 45-345",26740,1220000,8240000,2.72,210,1.17E+08,2.92E+09,800,26,782000,7290000,400,150,,2.92E+09,1524,8240000,300,800,28,14,26,26740
H_SB_H-808x302x16x30,302,16,28,2.08E+13,6498229,"Steel, 45-345",30760,1426000,9534000,2.74,241,1.38E+08,3.39E+09,808,30,915000,8400000,404,151,,3.39E+09,1524,9534000,302,808,28,16,30,30760
H_SB_H-890x299x15x23,299,15,18,1.93E+13,3400664,"Steel, 45-345",26680,1080000,8910000,2.92,210,1.03E+08,3.39E+09,890,23,687000,7610000,445,149.5,,3.39E+09,1524,8910000,299,890,18,15,23,26680
H_SB_H-900x300x16x28,300,16,18,2.40E+13,5580971,"Steel, 45-345",30580,1320000,10500000,2.94,240,1.26E+08,4.04E+09,900,28,842000,8990000,450,150,,4.04E+09,1524,10500000,300,900,18,16,28,30580
H_SB_H-912x302x18x34,302,18,18,3.01E+13,9620037,"Steel, 45-345",36010,1630000,12500000,2.97,283,1.57E+08,4.91E+09,912,34,1040000,10800000,456,151,,4.91E+09,1524,12500000,302,912,18,18,34,36010
H_SB_H-918x303x19x37,303,19,18,3.33E+13,12246166,"Steel, 45-345",38740,1778000,13377000,2.98,304,1.72E+08,5.35E+09,918,37,1140000,11700000,459,151.5,,5.35E+09,1524,13377000,303,918,18,19,37,38740
